original_path	new_path	reason	size_bytes	md5
C:\ALL THEORY\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v2.csv	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v2.csv	superseded by ..._v3.csv	18439	8c70cf4bdc81f0632589fd4f84ace5a5
C:\ALL THEORY\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v3.csv	C:\ALL THEORY\corpus\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v3.csv	Aug-20 authority stack	19335	1b04074f3a2cec815cbd9a4e7b51664c
C:\ALL THEORY\AUDIT_SU3_glueball_coupling_normalization_2026-06-14.md	C:\ALL THEORY\QUARANTINE\duplicates_exact\AUDIT_SU3_glueball_coupling_normalization_2026-06-14.md	byte-identical copy of programs/one_plaquette/su3_o5_consolidated_y6/AUDIT_SU3_glueball_coupling_normalization_2026-06-14.md	5049	c8396ef5742534fe2978c9b69f0320da
C:\ALL THEORY\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20.md	superseded by ..._v3_1.md	44191	c3168d92393775165cf5c44774a3eb05
C:\ALL THEORY\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_ADDENDUM.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_ADDENDUM.md	superseded by ..._v3_1.md	8902	d59ffe40cc03c0ab46f2cd2fdffe56bf
C:\ALL THEORY\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v2.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v2.md	superseded by ..._v3_1.md	26315	b2c318ce8c0db3b37f5764ee011fed2d
C:\ALL THEORY\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3.md	superseded by ..._v3_1.md	32018	a87e43a57b7aa6e66b5df7d578f2cc82
C:\ALL THEORY\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3_1.md	C:\ALL THEORY\corpus\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3_1.md	Aug-20 authority stack	34244	0927dfd956e0d64300db77dafc93f669
C:\ALL THEORY\GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_7.zip	C:\ALL THEORY\QUARANTINE\duplicates_exact\GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_7.zip	byte-identical copy of ZIP ARCHIVES/GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_7.zip	1404784	1341b0c9a04ec3cb1e19488cea1b2ec7
C:\ALL THEORY\GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_8.zip	C:\ALL THEORY\QUARANTINE\duplicates_exact\GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_8.zip	byte-identical copy of ZIP ARCHIVES/GLUEBALL_FLAT_BAND_SOURCE_RELEASE_V0_8.zip	1665284	0f40513795f5c3bce2440f14e290e14e
C:\ALL THEORY\NOTE_FLUX_glueball_highn_predictions_2026-06-14.md	C:\ALL THEORY\QUARANTINE\duplicates_exact\NOTE_FLUX_glueball_highn_predictions_2026-06-14.md	byte-identical copy of programs/one_plaquette/glueball_mass_prediction/NOTE_FLUX_glueball_highn_predictions_2026-06-14.md	4116	e68d516c5b1537cb99271172721b7da2
