old_path	new_path	size_bytes	md5
numerics/notebooks/A100_SU3_T1pm_String_Tension_Pilot.ipynb	numerics/notebooks/NB_STRING_a100_su3_t1pm_tension_pilot.ipynb	38711	6c113d5408ad0ff3b75c937605ac1c14
numerics/notebooks/NOT SURE RUNS GEMINI.ipynb	numerics/notebooks/NB_O4_not_sure_runs_gemini.ipynb	13625	ada7d4b45176a7ebb62fa998773ca173
numerics/notebooks/Prism_Complete_Third_Order_Shape_Closure_v2.ipynb	numerics/notebooks/NB_O3_prism_third_order_shape_closure_v2.ipynb	127188	f033b3c08e5be4784255d909e05eeb2c
numerics/notebooks/Prism_Square_Second_Order_Falsification.ipynb	numerics/notebooks/NB_O2_prism_square_second_order_falsification.ipynb	41166	4121966b4fd368b7c7375818ca5a2f27
numerics/notebooks/Prismatic_Minimal_Cell_Escape_Test.ipynb	numerics/notebooks/NB_HAAR_prismatic_minimal_cell_escape_test.ipynb	43074	242f5c8e88425b2261f5e034092ed42a
numerics/notebooks/SU(3)_O(u^6)_glueball_rest_mass_m6_=_(1_3)_tr_H6(0).ipynb	numerics/notebooks/NB_SU3_su_alt3_o_u_6_glueball_rest.ipynb	21448	1875f3aa661715fa3e6569113c27e713
numerics/notebooks/SU3_Y5_Y6_HISTORICAL_RECOVERY_COLAB.ipynb	numerics/notebooks/NB_Y6_su3_y5_historical_recovery_colab.ipynb	18648	06a999929d553977ace0f26f139c715c
numerics/notebooks/SU3_Y5_Y6_HISTORICAL_RECOVERY_R2_COLAB.ipynb	numerics/notebooks/NB_Y6_su3_y5_historical_recovery_r2_colab.ipynb	10773	ce3c85078abefd15432203f332f4cb36
numerics/notebooks/SU3_Y6_M6_COMPLETE_CERTIFIED_AND_RECOMPUTE (1).ipynb	numerics/notebooks/NB_Y6_su3_m6_certified_recompute_alt.ipynb	39221	65534fb880073510be01d595fff7cee1
numerics/notebooks/SU3_Y6_M6_COMPLETE_CERTIFIED_AND_RECOMPUTE.ipynb	numerics/notebooks/NB_Y6_su3_m6_certified_recompute.ipynb	35473	a3c371d8e64f4b5f41448f16bad6726f
numerics/notebooks/SU3_Y6_M6_SAFE_AUDIT_V5.ipynb	numerics/notebooks/NB_Y6_su3_m6_safe_audit_v5.ipynb	6392	370bc0800a52eed224d00206817d3ef0
numerics/notebooks/SU3_Y6_M6_SELF_CONTAINED_V4.ipynb	numerics/notebooks/NB_Y6_su3_m6_self_contained_v4.ipynb	21114412	fffd326376fa14b6ca0aefc3d7ebe8ca
numerics/notebooks/SU3_Y6_SCRATCH_STAGES1_2_V2.ipynb	numerics/notebooks/NB_Y6_su3_scratch_stages1_2_v2.ipynb	3147	da23856b1ebfd7e92db431d3abfc36aa
numerics/notebooks/SU3_Y6_STAGE0_NO_EDIT_COLAB (1).ipynb	numerics/notebooks/NB_Y6_su3_stage0_no_edit_colab_alt.ipynb	532160	c85392536000ae73317aef182a1d5af9
numerics/notebooks/SU3_Y6_STAGE0_NO_EDIT_COLAB (2).ipynb	numerics/notebooks/NB_Y6_su3_stage0_no_edit_colab_alt2.ipynb	544673	66fc023c9fafe51ef5c8f4ced50c4728
numerics/notebooks/SU3_Y6_STAGE0_NO_EDIT_COLAB.ipynb	numerics/notebooks/NB_Y6_su3_stage0_no_edit_colab.ipynb	3120	6cdfdcad2c184467c778bb4d9320b9b4
numerics/notebooks/SU4_CLEAN_NO_EDIT_REPRODUCIBILITY.ipynb	numerics/notebooks/NB_SU4_clean_no_edit_reproducibility.ipynb	10499	6516a2846efc2d3e80f78e7b91e1d6ee
numerics/notebooks/SU4_EXACT_FOURTH_ORDER_COMPLETION_COLAB - FIXED AND COMPLETED RUN.ipynb	numerics/notebooks/NB_O4_su4_exact_fourth_order_completion_colab_fixed.ipynb	101401	9543a20d3a3957636f71184895224fcb
numerics/notebooks/SU4_EXACT_FOURTH_ORDER_COMPLETION_COLAB.ipynb	numerics/notebooks/NB_O4_su4_exact_fourth_order_completion_colab.ipynb	45529	ec72a1480b899252547e11dbd37eb8dd
numerics/notebooks/Single_block_A100_validation_of_the_SU(3)_O(y^4)_real_space_SOS_theorem_.ipynb	numerics/notebooks/NB_SU3_single_block_a100_validation_su_alt3_o.ipynb	25346	ded710e0d3166c257a4bd15e151b79e0
numerics/notebooks/Untitled238.ipynb	numerics/notebooks/NB_FLUX_untitled238.ipynb	303419	c3e5ca5d6bbc7e2dc14634c719cc7bde
numerics/notebooks/o4.ipynb	numerics/notebooks/NB_O4_item.ipynb	174379	6161e1b765e0691c9cd93447f5f2a84f
