N_label,N_numeric,gauge_group,inv_N2,J,P,C,JPC,level,mass_over_sqrt_sigma,mass_error,value_type,data_stage,ambiguity_flag,continuum_spin_from_cubic_irreps,source_table,source_pdf_page,source_short,source_url
6,6,SU(6),0.027777777777777776,3,+,+,3++,gs,7.44,0.08,estimate,continuum_extrapolated,likely,A2++ gs + T1++ + T2++,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,4,+,+,4++,gs,7.2,0.07,estimate,continuum_extrapolated,likely,A1++ + E++ + T1++ + T2++,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,0,-,+,0-+,gs,4.967,0.043,estimate,continuum_extrapolated,none,A1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,0,-,+,0-+,ex1,7.14,0.13,estimate,continuum_extrapolated,none,A1-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,-,+,2-+,gs,6.148,0.05,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,-,+,2-+,ex1,7.92,0.14,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,1,-,+,1-+,gs,8.41,0.09,estimate,continuum_extrapolated,none,T1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,+,-,2+-,gs,8.83,0.09,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,1,+,-,1+-,gs,5.847,0.043,estimate,continuum_extrapolated,none,T1+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,1,+,-,1+-,ex1,7.55,0.09,estimate,continuum_extrapolated,none,T1+- ex2,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,3,+,-,3+-,gs,7.067,0.07,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,-,-,2--,gs,8.05,0.05,estimate,continuum_extrapolated,likely,E-- gs + T2-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,1,-,-,1--,gs,7.41,0.13,estimate,continuum_extrapolated,none,T1-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,0,+,+,0++,gs,3.099,0.026,estimate,continuum_extrapolated,none,A1++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,0,+,+,0++,ex1,5.87,0.07,estimate,continuum_extrapolated,none,A1++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,+,+,2++,gs,4.66,0.02,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,+,+,2++,ex1,6.6,0.09,estimate,continuum_extrapolated,likely,E++ ex1 + T2++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,3,+,+,3++,gs,7.34,0.11,estimate,continuum_extrapolated,likely,A2++ gs + T1++ + T2++,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,4,+,+,4++,gs,7.32,0.15,estimate,continuum_extrapolated,none,A1++ + E++ + T1++ + T2++,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,0,-,+,0-+,gs,4.755,0.058,estimate,continuum_extrapolated,none,A1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,0,-,+,0-+,ex1,6.9,0.24,estimate,continuum_extrapolated,none,A1-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,-,+,2-+,gs,6.043,0.055,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,-,+,2-+,ex1,8.1,0.11,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,1,-,+,1-+,gs,8.24,0.15,estimate,continuum_extrapolated,none,T1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,+,-,2+-,gs,8.52,0.12,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,1,+,-,1+-,gs,5.801,0.038,estimate,continuum_extrapolated,none,T1+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,1,+,-,1+-,ex1,7.43,0.09,estimate,continuum_extrapolated,likely,T1+- ex2,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,3,+,-,3+-,gs,6.999,0.07,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,2,-,-,2--,gs,7.78,0.07,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
8,8,SU(8),0.015625,1,-,-,1--,gs,7.09,0.17,estimate,continuum_extrapolated,none,T1-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,0,+,+,0++,gs,3.102,0.037,estimate,continuum_extrapolated,none,A1++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,0,+,+,0++,ex1,5.99,0.13,estimate,continuum_extrapolated,none,A1++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,+,+,2++,gs,4.594,0.025,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,+,+,2++,ex1,6.57,0.09,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,3,+,+,3++,gs,7.14,0.18,estimate,continuum_extrapolated,none,A2++ gs + T1++ + T2++,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,0,-,+,0-+,gs,4.835,0.06,estimate,continuum_extrapolated,none,A1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,0,-,+,0-+,ex1,7.03,0.14,estimate,continuum_extrapolated,none,A1-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,-,+,2-+,gs,6.01,0.08,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,-,+,2-+,ex1,7.86,0.12,estimate,continuum_extrapolated,likely,E-+ ex1 + T2-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,1,-,+,1-+,gs,8.49,0.28,estimate,continuum_extrapolated,none,T1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,+,-,2+-,gs,8.62,0.12,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,1,+,-,1+-,gs,5.776,0.041,estimate,continuum_extrapolated,none,T1+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,1,+,-,1+-,ex1,7.79,0.13,estimate,continuum_extrapolated,none,T1+- ex2,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,3,+,-,3+-,gs,7.035,0.05,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,2,-,-,2--,gs,7.74,0.15,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
10,10,SU(10),0.01,1,-,-,1--,gs,7.27,0.17,estimate,continuum_extrapolated,none,T1-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,0,+,+,0++,gs,3.151,0.033,estimate,continuum_extrapolated,none,A1++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,0,+,+,0++,ex1,5.914,0.082,estimate,continuum_extrapolated,none,A1++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,+,+,2++,gs,4.646,0.03,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,+,+,2++,ex1,6.71,0.06,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,0,-,+,0-+,gs,4.696,0.065,estimate,continuum_extrapolated,none,A1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,0,-,+,0-+,ex1,6.94,0.19,estimate,continuum_extrapolated,none,A1-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,-,+,2-+,gs,6.05,0.07,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,-,+,2-+,ex1,8.16,0.15,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,1,-,+,1-+,gs,8.59,0.12,estimate,continuum_extrapolated,none,T1-+ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,+,-,2+-,gs,8.5,0.17,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,1,+,-,1+-,gs,5.741,0.06,estimate,continuum_extrapolated,none,T1+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,1,+,-,1+-,ex1,7.48,0.14,estimate,continuum_extrapolated,none,T1+- ex2,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,3,+,-,3+-,gs,6.89,0.1,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,2,-,-,2--,gs,8.0,0.15,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
12,12,SU(12),0.006944444444444444,1,-,-,1--,gs,7.5,0.17,estimate,continuum_extrapolated,none,T1-- gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,+,+,0++,gs,3.072,0.014,estimate,large_N_extrapolated,none,A1++ gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,+,+,0++,ex1,5.845,0.05,estimate,large_N_extrapolated,none,A1++ ex1,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,+,+,2++,gs,4.599,0.014,estimate,large_N_extrapolated,none,E++ gs + T2++ gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,+,+,2++,ex1,6.582,0.036,estimate,large_N_extrapolated,none,E++ ex1 + T2++ ex1,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,3,+,+,3++,gs,7.263,0.056,estimate,large_N_extrapolated,none,A2++ gs + T1++ + T2++,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,4,+,+,4++,gs,7.182,0.071,estimate,large_N_extrapolated,none,A1++ + E++ + T1++ + T2++,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,-,+,0-+,gs,4.711,0.026,estimate,large_N_extrapolated,none,A1-+ gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,-,+,0-+,ex1,7.05,0.068,estimate,large_N_extrapolated,none,A1-+ ex1,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,-,+,2-+,gs,6.031,0.038,estimate,large_N_extrapolated,none,E-+ gs + T2-+ gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
