u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.047,2.71355733017553,3.9241633956670516,1.2106060654915218,0.9975033917024819,0.0006690808887205475,0.0012494487833795147,0.0005780786254182985
0.048,2.714546280212349,3.9218662031293356,1.2073199229169869,0.9973861227499039,0.0007016197265640154,0.0013081820867856322,0.0006040754367462295
0.049,2.7155344894158517,3.9195406066192793,1.2040061172034275,0.9972655758713067,0.0007351460150461901,0.0013685604813712226,0.0006307176322757218
0.05,2.716521926867462,3.917186612792567,1.200664685925105,0.997141699933786,0.0007696787115867487,0.0014306097597735475,0.0006580115948537481
0.051000000000000004,2.7175085609087524,3.914804228459832,1.1972956675510797,0.9970144424026598,0.000805237311419236,0.0014943564163793716,0.0006859638695416107
0.052000000000000005,2.7184943591273174,3.9123934605892594,1.193899101461942,0.9968837493068564,0.0008418418632340249,0.0015598276642167688,0.0007145811656927443
0.053,2.7194792883422574,3.909954316309187,1.1904750279669298,0.9967495652031981,0.000879512985360779,0.0016270514523664139,0.0007438703590744694
0.054,2.72046331458924,3.9074868029108214,1.1870234883215813,0.9966118331395479,0.0009182718825104932,0.0016960564839078463,0.000773838494033487
0.055,2.721446403105141,3.9049909278509856,1.1835445247458445,0.9964704946167805,0.0009581403630981425,0.0017668722344167205,0.0008044927857048376
0.056,2.7224285183122454,3.9024666987549996,1.1800381804427542,0.996325489549539,0.000999140857167517,0.0018395289710295114,0.0008358406222639397
0.057,2.7234096238020022,3.8999141234195656,1.1765044996175633,0.9961767562257443,0.0010412964349412939,0.0019140577720929098,0.0008678895672214145
0.058,2.724389682318315,3.8973332098157836,1.1729435274974684,0.9960242312648054,0.0010846308260195536,0.0019904905474152188,0.0009006473617600941
0.059000000000000004,2.7253686557403594,3.8947239660922235,1.1693553103518641,0.9958678495744964,0.0011291684392517034,0.002068860059138152,0.0009341219271138095
0.06,2.726346505064903,3.8920864005780746,1.1657398955131715,0.9957075443064577,0.0011749343833072372,0.0021491999432476268,0.0009683213669872815
0.061,2.727323190388138,3.8894205217863895,1.1620973313982517,0.9955432468102687,0.0012219544879720928,0.002231544731742892,0.00100325397001644
0.062,2.7282986708869776,3.8867263384174073,1.1584276675304297,0.9953748865860494,0.0012702553261983477,0.002315929875483861,0.0010389282122683801
0.063,2.7292729047998328,3.8840038593619512,1.1547309545621185,0.9952023912355461,0.001319864236936437,0.002402391767737307,0.001075352759780164
0.064,2.7302458494068333,3.881253093704954,1.1510072442981207,0.9950256864116421,0.0013708093487796794,0.0024909677684428425,0.0011125364711353292
0.065,2.7312174610094853,3.8784740507290034,1.1472565897195182,0.9948446957662485,0.0014231196044530926,0.0025816962292208325,0.0011504884000772377
0.066,2.7321876949097486,3.8756667399180826,1.143479045008334,0.994659340896519,0.001476824786178724,0.0026746165191443476,0.001189217798157856
0.067,2.7331565053885143,3.8728311709612897,1.1396746655727754,0.9944695412893284,0.0015319555419521715,0.00276976905129863,0.001228734117420813
0.068,2.7341238456834627,3.8699673537567456,1.135843508073283,0.9942752142639658,0.0015885434127654466,0.002867195310151672,0.001269047013117125
0.069,2.73508966796629,3.8670752984155796,1.1319856304492895,0.9940762749129737,0.0016466208608136598,0.002966937879760676,0.0013101663464521176
0.07,2.7360539233192807,3.864155015265957,1.1281010919466765,0.9938726360410742,0.0017062212987240771,0.003069040472839583,0.0013521021873616835
0.07100000000000001,2.7370165617111994,3.8612065148573356,1.1241899531461361,0.9936642081021225,0.0017673791198477386,0.0031735479607136125,0.0013948648173159955
0.07200000000000001,2.7379775319724957,3.858229807964697,1.1202522759922013,0.9934508991340074,0.0018301297296560862,0.003280506404187835,0.0014384647321485503
0.073,2.7389367817697887,3.855224905592973,1.116288123823184,0.9932326146914486,0.0018945095782860817,0.0033899630853570905,0.001482912644908264
